row_id,order_id,customer_id,ship_date,days_until_shipment,ship_mode,product_id,quantity_ordered_new,discount,sales,profit,shipping_cost,location_id
24844,86838,1,2015-05-14,2,Regular Air,1,16,0.09,1164.45,803.4705,19.99,1
24846,86838,1,2015-05-13,1,Regular Air,2,7,0.08,22.23,-24.03,2.31,1
24847,86838,1,2015-05-13,1,Regular Air,3,4,0.05,13.99,-37.03,4.2,1
24848,86838,1,2015-05-13,1,Regular Air,4,4,0.05,14.26,-0.71,1.63,1
22890,87407,2,2015-05-11,2,Regular Air,5,3,0.02,22.85,2.140000000000002,5.15,2
25354,87408,2,2015-06-14,2,Regular Air,6,17,0.04,506.39,349.4091,4.86,2
6243,44231,3,2015-05-05,2,Delivery Truck,7,37,0.04,6276.34,116.1,30.0,3
6244,44231,3,2015-05-05,2,Regular Air,8,146,0.01,2664.4,-87.96,4.0,3
24243,87306,4,2015-05-05,2,Delivery Truck,7,9,0.04,1526.68,255.42,30.0,4
24245,87306,4,2015-05-04,1,Regular Air,9,20,0.06,1952.56,685.6146,8.99,4
24319,86693,5,2015-01-28,1,Regular Air,10,5,0.02,10.23,-37.39,4.08,5
18161,86694,5,2015-05-26,1,Regular Air,11,14,0.07,217.23,149.8887,1.39,5
23365,91088,6,2015-03-13,1,Regular Air,12,4,0.01,193.59,133.5771,4.8,6
22907,91090,7,2015-04-24,1,Delivery Truck,13,5,0.06,929.57,251.4084,26.2,6
18521,88361,8,2015-05-22,0,Regular Air,14,23,0.07,221.24,152.6556,2.06,7
18522,88361,8,2015-05-23,1,Regular Air,15,29,0.07,46.65,7.150000000000006,1.57,7
18817,89092,9,2015-02-13,1,Regular Air,16,3,0.1,164.71,113.6499,1.49,8
18818,89092,10,2015-02-15,3,Regular Air,17,1,0.01,79.68,-35.4744,4.5,9
20520,89093,10,2015-04-11,2,Regular Air,18,14,0.05,53.26,14.467,1.49,9
20521,89093,10,2015-04-09,0,Regular Air,19,7,0.09,203.49,-99.9864,4.0,9
20522,89093,10,2015-04-10,1,Regular Air,20,22,0.0,2356.01,1348.59672,8.08,9
25158,88921,11,2015-04-04,2,Regular Air,21,19,0.0,3108.98,1167.158,19.99,10
7158,51072,12,2015-04-04,2,Regular Air,21,77,0.0,12599.55,1014.92,19.99,11
22136,88971,13,2015-04-28,1,Regular Air,22,3,0.09,34.65,1.73,4.86,12
18783,88972,13,2015-01-18,2,Regular Air,23,11,0.03,85.79,-133.7,5.53,12
25500,90237,14,2015-02-22,2,Regular Air,24,10,0.07,58.8,-243.2365,8.49,13
25501,90237,14,2015-02-21,1,Regular Air,25,12,0.04,120.47,-53.62,6.22,13
23058,90236,15,2015-02-06,1,Delivery Truck,26,6,0.06,1599.96,1103.9724,23.19,14
25121,90238,15,2015-03-29,2,Regular Air,27,7,0.03,197.59,136.3371,1.49,14
25122,90238,15,2015-03-29,2,Regular Air,28,2,0.01,33.04,-12.46,1.99,14
22044,90239,15,2015-04-30,2,Express Air,29,8,0.06,27.45,-175.86,7.49,14
18773,87214,16,2015-05-29,1,Express Air,30,39,0.02,109.74,1.108000000000001,1.3,15
18774,87214,16,2015-05-29,1,Regular Air,31,27,0.02,1543.55,1061.379,3.9,15
20858,90593,17,2015-05-20,2,Express Air,32,17,0.0,1300.81,326.25,12.14,16
19823,90594,17,2015-05-16,1,Regular Air,33,10,0.08,67.86,8.93200000000001,7.03,16
19824,90594,17,2015-05-16,1,Regular Air,34,33,0.01,747.28,229.6380000000001,35.0,16
19168,89761,18,2015-06-21,4,Regular Air,35,9,0.0,40.95,-61.87,5.34,17
19169,89761,18,2015-06-21,4,Delivery Truck,36,9,0.1,1155.73,-530.24,54.74,17
25624,89762,19,2015-01-19,3,Regular Air,37,7,0.09,192.3,132.687,1.99,18
25625,89762,19,2015-01-18,2,Express Air,38,14,0.08,748.1,496.89,4.99,18
18853,89166,20,2015-03-22,2,Regular Air,39,2,0.04,3206.94,-1759.58,24.49,19
25111,90973,21,2015-06-10,1,Regular Air,40,4,0.06,28.46,-29.172,5.03,20
3392,24193,22,2015-03-16,2,Delivery Truck,41,45,0.02,9539.6,-163.63,55.96,21
3393,24193,22,2015-03-15,1,Regular Air,42,24,0.02,109.86,-63.87,5.17,21
3394,24193,22,2015-03-16,2,Regular Air,43,19,0.04,1426.51,-175.175,0.99,21
19073,89579,23,2015-04-17,0,Regular Air,44,17,0.03,460.87,250.0376,5.37,20
22401,88929,24,2015-05-01,0,Regular Air,45,1,0.07,394.51,-539.59,11.37,22
20919,90339,25,2015-06-14,2,Express Air,46,15,0.1,126.9,-27.28375,6.28,23
22223,90337,26,2015-01-05,2,Regular Air,47,4,0.03,22.82,-51.5592,5.66,24
22224,90337,26,2015-01-06,3,Regular Air,48,2,0.01,188.66,-263.56572,2.5,24
23853,90338,27,2015-02-10,4,Delivery Truck,7,11,0.03,1845.23,1273.2087,30.0,25
25449,86383,28,2015-03-07,2,Regular Air,49,1,0.02,37.16,-159.68,7.53,26
25450,86383,28,2015-03-08,3,Regular Air,50,2,0.01,43.65,27.91,11.17,26
19104,89639,29,2015-05-06,4,Regular Air,51,14,0.07,400.47,236.2371,6.27,27
25813,88085,30,2015-05-28,3,Regular Air,52,43,0.0,355.92,86.438,4.0,28
23153,88083,31,2015-04-13,2,Regular Air,53,2,0.03,101.71,-4.459999999999994,19.99,29
23862,88084,31,2015-06-24,1,Delivery Truck,41,9,0.09,1766.68,-512.8720000000001,55.96,29
23863,88084,31,2015-06-24,1,Regular Air,54,11,0.09,29.02,-3.784,0.97,29
19694,90449,32,2015-06-28,3,Delivery Truck,55,1,0.04,159.51,-82.904,30.0,30
